dataset,tess_size,length_scale,output_variance,zero_boundary,n_recurrence,N,acc_train,acc_test
ArrowHead,32.0,0.01,0.5,1.0,5.0,8.0,0.8888888888888888,0.6830249411764705
ArrowHead,32.0,0.01,0.5,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.01,0.5,0.0,1.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,32.0,0.01,0.5,0.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.01,0.5,0.0,5.0,8.0,0.8333333333333334,0.6403358823529413
ArrowHead,64.0,0.001,0.1,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.001,0.1,1.0,1.0,8.0,0.8333333333333334,0.6403358823529413
ArrowHead,64.0,0.001,0.1,1.0,5.0,0.0,0.8055555555555556,0.6189913529411765
ArrowHead,64.0,0.001,0.1,1.0,5.0,8.0,0.8888888888888888,0.6830249411764705
ArrowHead,64.0,0.001,0.1,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.001,0.1,0.0,1.0,8.0,0.8333333333333334,0.6403358823529413
ArrowHead,64.0,0.001,0.1,0.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.001,0.1,0.0,5.0,8.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.001,0.5,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.001,0.5,1.0,1.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,64.0,0.001,0.5,1.0,5.0,0.0,0.8055555555555556,0.6189913529411765
ArrowHead,64.0,0.001,0.5,1.0,5.0,8.0,0.8888888888888888,0.6830249411764705
ArrowHead,64.0,0.001,0.5,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.001,0.5,0.0,1.0,8.0,0.8055555555555556,0.6189913529411765
ArrowHead,64.0,0.001,0.5,0.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.001,0.5,0.0,5.0,8.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.01,0.1,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.01,0.1,1.0,1.0,8.0,0.8333333333333334,0.6403358823529413
